,name,year,genre
0,Deadpool 2,(2018)," Action, Adventure, Comedy            "
1,The Favourite,(2018)," Biography, Drama            "
2,"Juliet, Naked",(2018)," Comedy, Drama, Music            "
3,V for Vendetta,(2005)," Action, Drama, Sci-Fi            "
4,Annihilation,(2018)," Adventure, Drama, Horror            "
5,Can You Ever Forgive Me?,(2018)," Biography, Comedy, Crime            "
6,The Wolf of Wall Street,(2013)," Biography, Comedy, Crime            "
7,La piel que habito,(2011)," Drama, Horror, Thriller            "
8,Climax,(2018)," Drama, Horror, Music            "
9,Män som hatar kvinnor,(2009)," Crime, Drama, Mystery            "
10,Watchmen,(2009)," Action, Drama, Mystery            "
11,Pitch Perfect,(2012)," Comedy, Music, Romance            "
12,Scott Pilgrim vs. the World,(2010)," Action, Comedy, Fantasy            "
13,The Haunting,(1999)," Fantasy, Horror, Mystery            "
14,Disobedience,(2017)," Drama, Romance            "
15,Atomic Blonde,(2017)," Action, Mystery, Thriller            "
16,American Psycho,(2000)," Crime, Drama            "
17,Blockers,(2018), Comedy            
18,Mulholland Dr.,(2001)," Drama, Mystery, Thriller            "
19,Tully,(2018)," Comedy, Drama, Mystery            "
20,Ghost in the Shell,(2017)," Action, Drama, Sci-Fi            "
21,La vie d'Adèle,(2013)," Drama, Romance            "
22,Allied,(2016)," Action, Drama, Romance            "
23,The Intouchables,(2011)," Biography, Comedy, Drama            "
24,Sausage Party,(2016)," Animation, Adventure, Comedy            "
25,Power Rangers,(2017)," Action, Adventure, Sci-Fi            "
26,Not Another Teen Movie,(2001), Comedy            
27,Below Her Mouth,(2016)," Drama, Romance            "
28,The Neon Demon,(2016)," Horror, Thriller            "
29,Cruel Intentions,(1999)," Drama, Romance            "
30,Flickan som lekte med elden,(2009)," Crime, Drama, Mystery            "
31,Monster,(2003)," Biography, Crime, Drama            "
32,Training Day,(2001)," Crime, Drama, Thriller            "
33,The Dictator,(2012), Comedy            
34,Rough Night,(2017)," Comedy, Crime, Thriller            "
35,Carol,(2015)," Drama, Romance            "
36,The World's End,(2013)," Action, Comedy, Sci-Fi            "
37,(500) Days of Summer,(2009)," Comedy, Drama, Romance            "
38,Adoration,(2013)," Drama, Romance            "
39,Elizabeth,(1998)," Biography, Drama, History            "
40,Wild Things,(1998)," Crime, Drama, Mystery            "
41,Year One,(2009)," Adventure, Comedy            "
42,Waiting...,(I) (2005), Comedy            
43,Professor Marston and the Wonder Women,(2017)," Biography, Drama            "
44,Enter the Void,(2009)," Drama, Fantasy            "
45,Up in the Air,(I) (2009)," Drama, Romance            "
46,Being John Malkovich,(1999)," Comedy, Drama, Fantasy            "
47,Vicky Cristina Barcelona,(2008)," Drama, Romance            "
48,La pianiste,(2001)," Drama, Music            "
49,Mike and Dave Need Wedding Dates,(2016)," Adventure, Comedy, Romance            "
50,Lizzie,(2018)," Biography, Crime, Drama            "
51,Perfume: The Story of a Murderer,(2006)," Crime, Drama, Fantasy            "
52,Anger Management,(2003), Comedy            
53,Thelma,(II) (2017)," Drama, Fantasy, Horror            "
54,Rent,(2005)," Drama, Musical, Romance            "
55,Hostel: Part II,(2007), Horror            
56,Wet Hot American Summer,(2001)," Comedy, Romance            "
57,Miss Congeniality,(2000)," Action, Comedy, Crime            "
58,Basic Instinct 2,(2006)," Drama, Mystery, Thriller            "
59,Habitación en Roma,(2010)," Drama, Romance            "
60,Thirteen,(2003), Drama            
61,This Is Where I Leave You,(2014)," Comedy, Drama            "
62,Smokin' Aces,(2006)," Action, Crime, Drama            "
63,Song to Song,(I) (2017)," Drama, Music, Romance            "
64,Under the Tuscan Sun,(2003)," Comedy, Drama, Romance            "
65,End of Watch,(2012)," Action, Crime, Drama            "
66,"Me, Myself & Irene",(2000), Comedy            
67,Kiss Kiss Bang Bang,(2005)," Action, Comedy, Crime            "
68,The Late Bloomer,(2016)," Comedy, Drama, Romance            "
69,Election,(1999)," Comedy, Drama, Romance            "
70,The Hours,(2002)," Drama, Romance            "
71,Side Effects,(I) (2013)," Crime, Drama, Mystery            "
72,Grindhouse,(2007)," Action, Horror, Thriller            "
73,Whitney,(2018)," Documentary, Biography, Music            "
74,Lez Bomb,(2018)," Comedy, Drama            "
75,Frida,(2002)," Biography, Drama, Romance            "
76,If I Stay,(2014)," Drama, Fantasy, Music            "
77,American Pie 2,(2001), Comedy            
78,Planet Terror,(2007)," Action, Comedy, Horror            "
79,Saved!,(2004)," Comedy, Drama            "
80,Milk,(I) (2008)," Biography, Drama            "
81,From Hell,(2001)," Horror, Mystery, Thriller            "
82,Passion,(2012)," Drama, Mystery, Thriller            "
83,Dope,(2015)," Comedy, Crime, Drama            "
84,Precious,(II) (2009), Drama            
85,The Party,(I) (2017)," Comedy, Drama            "
86,Jay and Silent Bob Strike Back,(2001), Comedy            
87,Bully,(2001)," Biography, Crime, Drama            "
88,Bend It Like Beckham,(2002)," Comedy, Drama, Romance            "
89,Io sono l'amore,(2009)," Drama, Romance            "
90,Lucía y el sexo,(2001)," Drama, Romance            "
91,Fruitvale Station,(2013)," Biography, Drama, Romance            "
92,The Boat That Rocked,(2009)," Comedy, Drama, Music            "
93,Across the Universe,(2007)," Drama, Fantasy, Musical            "
94,The Runaways,(2010)," Biography, Drama, Music            "
95,Femme Fatale,(2002)," Crime, Drama, Mystery            "
96,Sunshine Cleaning,(2008)," Comedy, Drama            "
97,Rock Star,(2001)," Drama, Music            "
98,Circle,(II) (2015)," Drama, Mystery, Sci-Fi            "
99,The Taking,(2014)," Horror, Mystery, Thriller            "
100,Boys Don't Cry,(1999)," Biography, Crime, Drama            "
101,Shortbus,(2006)," Drama, Romance            "
102,Girlhouse,(2014)," Horror, Thriller            "
103,The Woman,(I) (2011), Horror            
104,The Rules of Attraction,(2002)," Comedy, Drama, Romance            "
105,Certain Women,(2016), Drama            
106,Made of Honor,(2008)," Comedy, Romance            "
107,Duck Butter,(2018)," Comedy, Drama, Romance            "
108,Imagine Me & You,(2005)," Comedy, Drama, Romance            "
109,The Little Hours,(2017)," Comedy, Romance            "
110,Fired Up!,(2009), Comedy            
111,La terza madre,(2007)," Drama, Horror, Thriller            "
112,Ne le dis à personne,(2006)," Crime, Drama, Mystery            "
113,Away We Go,(2009)," Comedy, Drama, Romance            "
114,Best in Show,(2000), Comedy            
115,Their Finest,(2016)," Comedy, Drama, Romance            "
116,Half Baked,(1998)," Comedy, Crime            "
117,Orange County,(2002)," Comedy, Drama            "
118,Todo sobre mi madre,(1999), Drama            
119,Bridget Jones: The Edge of Reason,(2004)," Comedy, Drama, Romance            "
120,54,(1998)," Drama, Music            "
121,The Black Dahlia,(2006)," Crime, Drama, Mystery            "
122,Mercy,(I) (2017)," Drama, Romance            "
123,North Country,(2005), Drama            
124,Lost and Delirious,(2001)," Drama, Romance            "
125,The Kids Are All Right,(2010)," Comedy, Drama, Romance            "
126,Without a Paddle,(2004)," Adventure, Comedy, Mystery            "
127,The Hero,(I) (2017)," Comedy, Drama, Romance            "
128,Tra(sgre)dire,(2000)," Comedy, Drama            "
129,Mona Lisa Smile,(2003), Drama            
130,But I'm a Cheerleader,(1999)," Comedy, Drama, Romance            "
131,Tammy,(2014)," Comedy, Romance            "
132,What Keeps You Alive,(2018)," Horror, Thriller            "
133,Notes on a Scandal,(2006)," Crime, Drama, Romance            "
134,Gigli,(2003)," Comedy, Crime, Romance            "
135,Swimming Pool,(2003)," Crime, Drama, Mystery            "
136,My Summer of Love,(2004)," Drama, Romance, Thriller            "
137,Fucking Åmål,(1998)," Comedy, Drama, Romance            "
138,The Feels,(2017)," Comedy, Romance            "
139,Stay,(I) (2005)," Drama, Mystery, Thriller            "
140,The Canyons,(2013)," Drama, Thriller            "
141,American Mary,(2012)," Drama, Horror            "
142,Teenage Cocktail,(2016)," Drama, Thriller            "
143,The Intervention,(I) (2016)," Comedy, Drama            "
144,Concussion,(2013), Drama            
145,Sliding Doors,(1998)," Comedy, Drama, Fantasy            "
146,Kicking & Screaming,(2005)," Comedy, Family, Romance            "
147,Elena Undone,(2010)," Drama, Romance            "
148,A Perfect Ending,(2012)," Drama, Romance            "
149,Freeheld,(2015)," Biography, Drama, Romance            "
150,Loving Annabelle,(2006)," Drama, Romance            "
151,Lesbian Vampire Killers,(2009)," Action, Comedy, Fantasy            "
152,Perfect Stranger,(2007)," Crime, Drama, Horror            "
153,The Stepfather,(2009)," Crime, Thriller            "
154,Novitiate,(2017), Drama            
155,Bug,(2006)," Drama, Horror, Thriller            "
156,Chinjeolhan geumjassi,(2005)," Crime, Drama, Thriller            "
157,An Unfinished Life,(2005)," Drama, Family, Romance            "
158,All American Bikini Car Wash,(2015), Comedy            
159,Urban Legends: Final Cut,(2000)," Horror, Mystery, Thriller            "
160,Careful What You Wish For,(2015)," Drama, Thriller            "
161,Albert Nobbs,(2011)," Drama, Romance            "
162,Kinsey,(2004)," Biography, Drama, Romance            "
163,Bloomington,(2010), Drama            
164,Córki dancingu,(2015)," Drama, Fantasy, Horror            "
165,100 Girls,(2000)," Comedy, Romance            "
166,Princess Cyd,(2017)," Drama, Romance            "
167,I Can't Think Straight,(2008)," Drama, Romance            "
168,Better Than Chocolate,(1999)," Comedy, Drama, Romance            "
169,88 Minutes,(2007)," Crime, Drama, Mystery            "
170,The Comedian,(2016), Comedy            
171,White Oleander,(2002), Drama            
172,Women in Trouble,(2009)," Comedy, Drama            "
173,Clouds of Sils Maria,(2014), Drama            
174,What We Did on Our Holiday,(2014)," Comedy, Drama            "
175,Hollywoodland,(2006)," Biography, Crime, Drama            "
176,4/20 Massacre,(2018)," Action, Horror            "
177,I Could Never Be Your Woman,(2007)," Comedy, Drama, Romance            "
178,Trauma,(II) (2017)," Action, Drama, Horror            "
179,Our Idiot Brother,(2011)," Comedy, Drama            "
180,May,(2002)," Drama, Horror            "
181,A Dirty Shame,(2004), Comedy            
182,The Sense of an Ending,(2017)," Drama, Mystery            "
183,Lap Dance,(2014), Drama            
184,The Skeleton Twins,(2014)," Comedy, Drama, Romance            "
185,Monamour,(2006), Drama            
186,The Girl King,(2015)," Biography, Drama, History            "
187,Despite the Falling Snow,(2016)," Drama, Mystery, Romance            "
188,Where the Truth Lies,(2005)," Crime, Drama, Mystery            "
189,Bitch Slap,(2009)," Action, Comedy, Crime            "
190,Breach,(2007)," Biography, Crime, Drama            "
191,Miss March,(2009)," Comedy, Romance            "
192,Fun Size,(2012)," Adventure, Comedy            "
193,D.E.B.S.,(2004)," Action, Comedy, Romance            "
194,Accidental Love,(2015)," Comedy, Romance            "
195,The Private Lives of Pippa Lee,(2009)," Comedy, Drama, Romance            "
196,Amazon Hot Box,(2018), Action            
197,Kissing Jessica Stein,(2001)," Comedy, Drama, Romance            "
198,The Libertine,(2004)," Biography, Drama, History            "
199,La belle saison,(2015)," Drama, Romance            "
200,The Jane Austen Book Club,(2007)," Comedy, Drama, Romance            "
201,The Other Sister,(1999)," Comedy, Drama, Romance            "
202,Contracted,(2013)," Drama, Horror, Thriller            "
203,Ashley,(I) (2013), Drama            
204,Circumstance,(2011), Drama            
205,Dealin' with Idiots,(2013), Comedy            
206,Stonewall,(2015), Drama            
207,8 femmes,(2002)," Comedy, Crime, Musical            "
208,Postal,(2007)," Action, Comedy, Thriller            "
209,Jenny's Wedding,(2015)," Comedy, Drama            "
210,High Art,(1998)," Drama, Romance            "
211,Celebrity,(1998)," Comedy, Drama            "
212,First Girl I Loved,(2016)," Drama, Romance            "
213,The ABCs of Death,(2012)," Comedy, Horror            "
214,Tomcats,(2001), Comedy            
215,The War Zone,(1999), Drama            
216,Holy Smoke,(1999)," Drama, Comedy            "
217,Kiss the Bride,(2002)," Comedy, Drama, Romance            "
218,Grandma,(2015)," Comedy, Drama            "
219,A Few Best Men,(2011)," Comedy, Romance            "
220,Diamantino,(2018)," Comedy, Drama, Fantasy            "
221,"Guns, Girls and Gambling",(2012)," Crime, Thriller            "
222,Kaboom,(2010)," Comedy, Mystery, Romance            "
223,After Sex,(2007)," Comedy, Drama, Romance            "
224,Bare,(I) (2015)," Drama, Romance            "
225,Ai no mukidashi,(2008)," Action, Comedy, Drama            "
226,In Good Company,(2004)," Comedy, Drama, Romance            "
227,Your Sister's Sister,(2011)," Comedy, Drama            "
228,Respire,(2014), Drama            
229,Eagle vs Shark,(2007)," Comedy, Romance            "
230,Everything Is Illuminated,(2005)," Comedy, Drama            "
231,Prime,(2005)," Comedy, Drama, Romance            "
232,Feast of Love,(2007)," Drama, Romance            "
233,Scarlet Diva,(2000), Drama            
234,Laurel Canyon,(2002), Drama            
235,Saving Face,(2004)," Comedy, Drama, Romance            "
236,3 Generations,(2015), Drama            
237,Pretty Persuasion,(2005)," Comedy, Drama            "
238,Megan Is Missing,(2011)," Drama, Horror, Thriller            "
239,The Carmilla Movie,(2017)," Comedy, Horror, Romance            "
240,Survival of the Dead,(2009)," Comedy, Drama, Horror            "
241,Almost Adults,(2016)," Comedy, Drama            "
242,Hello Again,(2017)," Drama, Music, Musical            "
243,Tanner Hall,(2009)," Drama, Romance            "
244,Les anges exterminateurs,(2006)," Drama, Fantasy            "
245,Nude Nuns with Big Guns,(2010)," Action, Comedy, Thriller            "
246,Running with Scissors,(2006)," Comedy, Drama            "
247,Happy Endings,(2005)," Comedy, Drama, Music            "
248,The Weight of Water,(2000)," Crime, Drama, Mystery            "
249,XX/XY,(2002)," Drama, Romance            "
250,Another Gay Movie,(2006)," Comedy, Romance            "
251,Going Clear: Scientology & the Prison of Belief,(2015), Documentary            
252,Employee of the Month,(2004)," Comedy, Drama            "
253,Believer,(I) (2018)," Documentary, Music            "
254,BloodRayne: The Third Reich,(2011)," Action, Adventure, Fantasy            "
255,The Shipping News,(2001), Drama            
256,Universal Soldier: The Return,(1999)," Action, Sci-Fi            "
257,Anatomy of a Love Seen,(2014)," Drama, Romance            "
258,Dead Man on Campus,(1998), Comedy            
259,L'auberge espagnole,(2002)," Comedy, Drama, Romance            "
260,Attenberg,(2010), Drama            
261,Naissance des pieuvres,(2007)," Drama, Romance            "
262,Drowning Mona,(2000)," Comedy, Crime, Mystery            "
263,Descent,(2007)," Drama, Thriller            "
264,Befikre,(2016)," Comedy, Drama, Romance            "
265,Life Partners,(2014)," Comedy, Drama, Romance            "
266,The Sex Monster,(1999), Comedy            
267,AWOL,(2016)," Drama, Romance            "
268,Sex and Death 101,(2007)," Comedy, Drama, Romance            "
269,Art School Confidential,(2006)," Comedy, Drama            "
270,Ma mère,(2004)," Drama, Romance            "
271,Rise,(2007)," Action, Horror, Mystery            "
272,The Broken Hearts Club: A Romantic Comedy,(2000)," Comedy, Drama, Romance            "
273,Liz en Septiembre,(2014)," Drama, Romance            "
274,Iris,(I) (2001)," Biography, Drama, Romance            "
275,She Hate Me,(2004)," Comedy, Drama            "
276,The Humbling,(2014)," Comedy, Drama, Romance            "
277,Auf der anderen Seite,(2007), Drama            
278,Jack & Diane,(2012)," Drama, Horror, Romance            "
279,Sex and Breakfast,(2007)," Comedy, Drama, Romance            "
280,Head in the Clouds,(2004)," Drama, Romance, War            "
281,Eating Out,(I) (2004)," Comedy, Drama, Romance            "
282,The Dead Girl,(2006)," Crime, Drama, Mystery            "
283,Dupa dealuri,(2012), Drama            
284,Pecker,(1998)," Comedy, Drama            "
285,Tillsammans,(2000)," Comedy, Drama, Romance            "
286,The World Unseen,(2007)," Drama, Romance            "
287,Unfreedom,(2014)," Crime, Drama, Romance            "
288,Run! Bitch Run!,(2009)," Horror, Thriller            "
289,The Gymnast,(2006)," Drama, Romance, Sport            "
290,Mentiras y gordas,(2009)," Comedy, Drama            "
291,The In Crowd,(2000)," Drama, Mystery, Thriller            "
292,Assassination of a High School President,(2008)," Comedy, Crime, Mystery            "
293,The Love Letter,(1999)," Comedy, Drama, Romance            "
294,Réparer les vivants,(2016), Drama            
295,Les adieux à la reine,(2012)," Drama, History, Romance            "
296,La danseuse,(2016)," Biography, Drama, History            "
297,.45,(2006)," Crime, Drama, Thriller            "
298,Dr. T & the Women,(2000)," Comedy, Drama, Romance            "
299,For Your Consideration,(2006), Comedy            
300,Itty Bitty Titty Committee,(2007)," Comedy, Drama, Romance            "
301,Mental,(2012)," Comedy, Drama            "
302,Boy Meets Girl,(I) (2014)," Comedy, Drama, Romance            "
303,Poultrygeist: Night of the Chicken Dead,(2006)," Comedy, Horror, Musical            "
304,Chiisai ouchi,(2014)," Drama, Romance            "
305,Pariah,(I) (2011), Drama            
306,Tea with Mussolini,(1999)," Drama, Comedy, War            "
307,Nurse Betty,(2000)," Comedy, Crime, Drama            "
308,4.3.2.1.,(2010)," Crime, Thriller            "
309,The Loss of Sexual Innocence,(1999), Drama            
310,Becks,(2017)," Drama, Musical, Romance            "
311,When Will I Be Loved,(2004)," Drama, Thriller            "
312,Kalyug,(2005)," Action, Crime, Drama            "
313,Bar Bahar,(2016), Drama            
314,Eloïse,(2009)," Drama, Romance            "
315,Strange Weather,(2016)," Adventure, Drama            "
316,P,(2005)," Drama, Horror            "
317,Sheer Passion,(1998), Thriller            
318,Margarita with a Straw,(2014), Drama            
319,Romeos,(2011)," Drama, Romance            "
320,The Winning Season,(2009)," Comedy, Sport            "
321,Casse-tête chinois,(2013)," Comedy, Drama, Romance            "
322,Soul Survivors,(2001)," Drama, Horror, Mystery            "
323,Aimée & Jaguar,(1999)," Biography, Drama, Romance            "
324,Nathalie...,(2003), Drama            
325,Strangers with Candy,(2005), Comedy            
326,Manhattan Romance,(2015)," Comedy, Drama, Romance            "
327,Girl,(1998)," Comedy, Drama, Music            "
328,Tiny Furniture,(2010)," Comedy, Drama, Romance            "
329,Citizen Toxie: The Toxic Avenger IV,(2000)," Action, Comedy, Fantasy            "
330,"Sweet, Sweet Lonely Girl",(2016)," Drama, Horror, Thriller            "
331,Book of Love,(2004)," Comedy, Drama            "
332,Lila dit ça,(2004)," Crime, Drama, Romance            "
333,Sukkar banat,(2007)," Comedy, Drama, Romance            "
334,Trash Fire,(2016)," Comedy, Drama, Horror            "
335,The Sex Movie,(2006), Drama            
336,Possession,(2002)," Drama, Mystery, Romance            "
337,The Unspoken,(2015)," Horror, Thriller            "
338,Raven's Touch,(2015), Drama            
339,Girl Play,(2004), Comedy            
340,Whores' Glory,(2011), Documentary            
341,Sala samobójców,(2011)," Animation, Drama, Thriller            "
342,Scotty and the Secret History of Hollywood,(2017), Documentary            
343,Black and White,(I) (1999)," Crime, Drama, Music            "
344,The Countess,(2009)," Biography, Drama, History            "
345,Trailer Park Boys: The Movie,(2006)," Comedy, Crime            "
346,Les poupées russes,(2005)," Comedy, Drama, Romance            "
347,Blow Dry,(2001)," Comedy, Drama, Romance            "
348,The Beautiful Ordinary,(2007)," Comedy, Drama            "
349,Love Is All You Need?,(2016), Drama            
350,Palindromes,(2004)," Comedy, Drama            "
351,Jisatsu sâkuru,(2001)," Crime, Drama, Horror            "
352,All Through the House,(2015), Horror            
353,Ambrosia,(I) (2012), Drama            
354,Bright Young Things,(2003)," Comedy, Drama, War            "
355,Tirante el Blanco,(2006)," Adventure, Romance            "
356,Carmen y Lola,(2018)," Drama, Romance            "
357,The Oh in Ohio,(2006)," Comedy, Drama, Romance            "
358,Head On,(1998)," Drama, Romance            "
359,Angry Indian Goddesses,(2015)," Comedy, Drama            "
360,Judas Kiss,(1998)," Crime, Drama, Thriller            "
361,Eating Out 2: Sloppy Seconds,(2006)," Comedy, Romance            "
362,La Ciénaga,(2001)," Comedy, Drama            "
363,Boogie Woogie,(2009)," Comedy, Drama            "
364,Burn Burn Burn,(2015)," Comedy, Drama            "
365,Stuff,(2015), Drama            
366,Andið eðlilega,(2018), Drama            
367,Les chansons d'amour,(2007)," Drama, Musical, Romance            "
368,Zwei Mütter,(2013), Drama            
369,The Specials,(2000)," Action, Comedy, Fantasy            "
370,Timecode,(2000)," Drama, Romance            "
371,Addicted to Fresno,(2015)," Comedy, Drama            "
372,Ha-Sodot,(2007)," Drama, Romance            "
373,Me Him Her,(2015)," Comedy, Romance            "
374,Signature Move,(2017)," Comedy, Drama, Romance            "
375,The Monkey's Mask,(2000)," Crime, Mystery, Thriller            "
376,Sordid Lives,(2000)," Comedy, Romance            "
377,The Adventures of Beatle,(2015)," Comedy, Drama, Thriller            "
378,The Unseen,(I) (2016)," Action, Horror, Sci-Fi            "
